Table_Name,State_Code,District_Code,Area_Name,Total_Rural_Urban,Age_Group,Total_Disabled_Persons,Total_Disabled_Males,Total_Disabled_Females,Seeing_P,Seeing_M,Seeing_F,Hearing_P,Hearing_M,Hearing_F,Speech_P,Speech_M,Speech_F,Movement_P,Movement_M,Movement_F,Mental_Retardation_P,Mental_Retardation_M,Mental_Retardation_F,Mental_Illness_P,Mental_Illness_M,Mental_Illness_F,Other_Disability_P,Other_Disability_M,Other_Disability_F,Multiple_Disability_P,Multiple_Disability_M,Multiple_Disability_F
C5020SC,32,0,State-KERALA,Total,Total,77033,39421,37612,12030,5371,6659,11334,4958,6376,4729,2601,2128,18102,10843,7259,5137,2702,2435,6201,2849,3352,10501,5475,5026,8999,4622,4377
C5020SC,32,0,State-KERALA,Total,0-4,1485,811,674,133,60,73,305,151,154,57,35,22,227,147,80,74,40,34,6,3,3,509,285,224,174,90,84
C5020SC,32,0,State-KERALA,Total,5-9,2677,1452,1225,290,152,138,391,207,184,366,199,167,346,210,136,316,187,129,12,6,6,460,243,217,496,248,248
C5020SC,32,0,State-KERALA,Total,10-19,7516,4255,3261,853,449,404,1070,567,503,809,474,335,962,583,379,1290,744,546,142,85,57,1122,623,499,1268,730,538
C5020SC,32,0,State-KERALA,Total,20-29,9656,5295,4361,803,453,350,1293,636,657,806,442,364,1976,1187,789,1294,703,591,732,402,330,1465,773,692,1287,699,588
C5020SC,32,0,State-KERALA,Total,30-39,11116,5853,5263,1000,491,509,1450,655,795,796,392,404,2844,1716,1128,992,491,501,1339,702,637,1544,797,747,1151,609,542
C5020SC,32,0,State-KERALA,Total,40-49,11993,6457,5536,1707,836,871,1534,689,845,703,381,322,3123,1997,1126,605,295,310,1592,769,823,1730,910,820,999,580,419
C5020SC,32,0,State-KERALA,Total,50-59,11087,5925,5162,1933,910,1023,1431,594,837,544,330,214,3346,2110,1236,292,131,161,1155,518,637,1526,821,705,860,511,349
C5020SC,32,0,State-KERALA,Total,60-69,10100,4878,5222,2388,954,1434,1522,606,916,366,203,163,2869,1725,1144,168,76,92,724,243,481,1169,611,558,894,460,434
C5020SC,32,0,State-KERALA,Total,70-79,6987,2891,4096,1848,695,1153,1349,494,855,201,100,101,1611,837,774,68,28,40,344,90,254,663,290,373,903,357,546
C5020SC,32,0,State-KERALA,Total,80-89,3522,1311,2211,881,315,566,801,294,507,64,38,26,664,283,381,26,4,22,125,22,103,249,98,151,712,257,455
C5020SC,32,0,State-KERALA,Total,90+,820,255,565,186,53,133,181,61,120,10,2,8,120,37,83,6,2,4,21,5,16,49,17,32,247,78,169
C5020SC,32,0,State-KERALA,Total,Age Not Stated,74,38,36,8,3,5,7,4,3,7,5,2,14,11,3,6,1,5,9,4,5,15,7,8,8,3,5
C5020SC,32,0,State-KERALA,Rural,Total,46320,23769,22551,7394,3293,4101,6920,3009,3911,2781,1525,1256,10837,6576,4261,2969,1575,1394,3718,1690,2028,6352,3333,3019,5349,2768,2581
C5020SC,32,0,State-KERALA,Rural,0-4,899,490,409,96,46,50,180,85,95,32,18,14,146,103,43,48,25,23,3,1,2,293,167,126,101,45,56
C5020SC,32,0,State-KERALA,Rural,5-9,1612,882,730,190,99,91,246,123,123,215,116,99,215,141,74,185,109,76,5,3,2,279,152,127,277,139,138
C5020SC,32,0,State-KERALA,Rural,10-19,4629,2615,2014,507,257,250,656,350,306,525,312,213,625,370,255,768,456,312,83,46,37,695,380,315,770,444,326
C5020SC,32,0,State-KERALA,Rural,20-29,5919,3230,2689,479,259,220,813,391,422,492,274,218,1253,766,487,761,399,362,443,248,195,919,489,430,759,404,355
