Area_Name,Total_Disabled
MADHYA PRADESH,585700
TAMIL NADU,508972
ODISHA,507558
MAHARASHTRA,433412
RAJASTHAN,414490
JHARKHAND,360386
CHHATTISGARH,342794
ANDHRA PRADESH,296386
GUJARAT,258966
WEST BENGAL,220310
KARNATAKA,186204
KERALA,154066
ASSAM,107334
JAMMU & KASHMIR,83440
UDAIPUR,76770
MEGHALAYA,76232
MAYURBHANJ,72306
SURGUJA,56478
BIHAR,54766
NASHIK,54198
BANSWARA,53898
NAGALAND,52618
THANE,52618
SUNDARGARH,49454
MANIPUR,47430
RANCHI,46926
UTTAR PRADESH,46156
DOHAD,45376
DUNGARPUR,42972
KHAMMAM,41038
PASCHIM MEDINIPUR,40810
ARUNACHAL PRADESH,40528
DHAR,40442
KENDUJHAR,36510
VILUPPURAM,35694
KORAPUT,35368
VADODARA,34976
KANCHEEPURAM,34066
BASTAR,33914
VISAKHAPATNAM,33446
JALPAIGURI,33302
RAIGARH,33236
THIRUVALLUR,33018
TRIPURA,33016
NABARANGAPUR,33010
JALGAON,32874
CHENNAI,32652
NANDURBAR,31738
RAYAGADA,31002
JHABUA,30974
DUMKA,29736
CHHINDWARA,29516
MANDLA,29052
VELLORE,29002
MIZORAM,28690
VALSAD,28638
RAIPUR,27856
JASHPUR,26998
BETUL,26912
CHANDRAPUR,26862
CUDDALORE,26340
DHULE,26154
GUMLA,26092
BARWANI,25846
WARANGAL,25118
ADILABAD,25068
KHARGONE (WEST NIMAR),24866
KANDHAMAL,24760
PASHCHIMI SINGHBHUM,24396
JAIPUR,24256
PRATAPGARH,24226
KALAHANDI,24104
SAMBALPUR,23580
BILASPUR,23398
DINDORI,23216
SEONI,22848
YAVATMAL,22786
BALANGIR,22532
SHAHDOL,22394
GODDA,21352
TIRUNELVELI,20992
NAVSARI,20986
SURAT,20868
THIRUVANANTHAPURAM,20636
PURULIYA,20412
NALGONDA,20188
PURBI SINGHBHUM,19948
TAPI,19912
KHANDWA (EAST NIMAR),19872
KORBA,19780
THIRUVARUR,19686
COIMBATORE,19528
NAGPUR,19470
PANCH MAHALS,19070
ALIRAJPUR,19022
DAUSA,18884
BELLARY,18598
RAJNANDGAON,18530
NAGAPATTINAM,18412
PALAKKAD,18372
BARDDHAMAN,18354
DARJILING,18308
UTTAR BASTAR KANKER,18126
PUDUCHERRY,18102
GAJAPATI,17916
TIRUVANNAMALAI,17896
PAKUR,17786
ANUPPUR,17752
MALKANGIRI,17744
DURG,17528
SARAIKELA-KHARSAWAN,17438
SAHIBGANJ,17424
BOKARO,17296
KOLLAM,17262
JABALPUR,17046
AHMADNAGAR,16904
SENAPATI,16788
WEST GARO HILLS,16656
EAST KHASI HILLS,16646
GADCHIROLI,16600
AMRAVATI,16572
SALEM,16306
MAHBUBNAGAR,16174
HIMACHAL PRADESH,15998
MAHASAMUND,15594
BHARUCH,15494
THRISSUR,15470
RATLAM,15416
BANKURA,15176
BARGARH,15150
RAICHUR,15042
REWA,14848
SABAR KANTHA,14836
DINDIGUL,14782
RANGAREDDY,14720
THANJAVUR,14642
TIRUCHIRAPPALLI,14614
PUNE,14480
MADURAI,14448
JHARSUGUDA,14384
SIMDEGA,14096
